id,no. of individual chains,no. of chains,global symmetry,symmetry type,stochiometry,tm_imp,tm_molpc,tm_mcts_v2,df_mcts_v2.2,tm_af
6RDB,7,20,C1,asymmetric,A10B3C3D1E1F1G1,,0.3389,0.1681,,
6RKE,2,12,D3,dihedral,A6B6,,0.4015,0.4964,0.498,0.4979
6RO0,5,12,C2,cyclic,A4B2C2D2E2,,0.3258,0.2087,0.3314,0.1568
6S5L,1,12,C1,asymmetric,A12,,0.2553,,,0.3149
6SDZ,1,11,C1,asymmetric,A11,,0.0854,,,0.1742
6SQR,3,12,C1,asymmetric,A4B4C4,,0.4276,0.2563,0.4934,0.4928
6SSI,2,10,C5,cyclic,A5B5,,0.5877,0.7366,0.6258,0.9006
6UIW,1,11,C11,cyclic,A11,0.589,0.6108,0.7928,0.7863,0.9309
6UWR,1,14,C7,cyclic,A14,0.2608,0.3876,0.3243,0.3244,
6W6M,1,14,C14,cyclic,A14,0.3316,0.5485,0.1929,0.2053,
6WBN,1,14,D7,dihedral,A14,0.4457,0.4653,0.4503,0.4499,
6X04,2,12,D3,dihedral,A6B6,0.3187,0.2278,0.1721,0.1721,0.2232
6YBQ,2,12,D3,dihedral,A6B6,0.2297,0.234,0.9668,,
6Z16,7,14,C2,cyclic,A2B2C2D2E2F2G2,,0.4037,0.2447,0.23,
6Z1F,3,22,C1,asymmetric,A8B8C6,0.2831,0.6619,0.2654,,
6ZEE,2,12,C2,cyclic,A6B6,0.2563,0.2952,0.2083,,0.2906
6ZK9,18,18,C1,asymmetric,A1B1C1D1E1F1G1H1I1J1K1L1M1N1O1P1Q1R1,0.3078,0.3789,,,
6ZKB,29,29,C1,asymmetric,A1B1C1D1E1F1G1H1I1J1K1L1M1N1O1P1Q1R1S1T1U1V1W1X1Y1Z1a1b1c1,,0.2494,,,
7AJP,1,12,C1,asymmetric,A12,0.247,0.25,0.2508,0.2507,0.5079
7C4J,11,12,C1,asymmetric,A2B1C1D1E1F1G1H1I1J1K1,0.1187,0.2053,,,
7CGE,4,12,C2,cyclic,A6B2C2D2,,0.7097,0.186,,0.9886
7JJP,1,12,D6,dihedral,A12,,0.4338,0.548,,
7JKC,1,12,D6,dihedral,A12,,0.4201,0.2428,,
7JQZ,1,10,D5,dihedral,A10,0.4936,0.5085,0.9542,0.9776,0.7676
7JZ2,4,12,C3,cyclic,A3B3C3D3,0.3529,0.378,0.1949,0.3521,0.9925
7NRQ,1,10,C2,cyclic,A10,,0.1621,0.1277,,
